295: (0,0,0,2,2,1,0,1)
499: (0,0,0,4,0,3,0,1)
1104: (0,0,1,3,1,0,0,0)
1127: (0,0,1,3,1,3,2,1)
1324: (0,0,1,5,0,0,2,0)
1422: (0,0,1,5,4,1,0,0)
2132: (0,0,2,5,3,3,1,0)
2190: (0,0,3,0,1,1,0,0)
2206: (0,0,3,0,1,3,2,0)
2603: (0,0,3,3,3,1,2,1)
4642: (0,0,6,2,3,1,2,0)
5329: (0,1,0,2,2,0,0,1)
5348: (0,1,0,2,2,3,1,0)
5466: (0,1,0,3,2,3,0,0)
6332: (0,1,1,4,3,3,1,0)
7028: (0,1,2,4,2,3,1,0)
8842: (0,1,5,1,3,1,2,0)
9054: (0,1,5,3,2,1,0,0)
9792: (0,1,6,3,3,0,0,0)
9830: (0,1,6,3,4,2,1,0)
16386: (0,3,1,4,2,3,0,0)
18261: (0,3,4,2,0,3,1,1)
18385: (0,3,4,3,1,0,0,1)
18468: (0,3,4,3,4,2,0,0)
18844: (0,3,5,1,0,0,2,0)
19368: (0,3,5,5,2,0,0,0)
20176: (0,4,0,0,0,2,2,0)
20439: (0,4,0,2,1,2,1,1)
20601: (0,4,0,3,3,1,1,1)
20615: (0,4,0,3,3,3,2,1)
23579: (0,4,4,4,2,1,2,1)
26678: (0,5,2,0,1,2,1,0)
28028: (0,5,3,5,2,3,1,0)
28084: (0,5,4,0,0,0,2,0)
28634: (0,5,4,4,3,0,1,0)
28653: (0,5,4,4,3,3,1,1)
31376: (0,6,1,3,2,1,1,0)
32035: (0,6,2,2,4,3,0,1)
32588: (0,6,3,1,2,3,1,0)
33933: (0,6,5,0,3,3,1,1)
34987: (0,6,6,3,2,3,0,1)
35061: (0,6,6,4,0,3,1,1)
35079: (0,6,6,4,1,2,1,1)
42002: (1,0,2,2,0,0,1,0)
42720: (1,0,3,2,0,0,0,0)
42889: (1,0,3,3,2,0,0,1)
43038: (1,0,3,4,3,1,0,0)
43068: (1,0,3,4,4,2,0,0)
44378: (1,0,5,3,4,0,1,0)
50713: (1,2,0,2,3,0,0,1)
50863: (1,2,0,3,4,1,0,1)
