0: (0,0,0,0,0,0)
479: (0,3,4,3,2,1)
512: (0,4,1,1,1,0)
539: (0,4,2,1,2,1)
739: (1,0,0,3,0,1)
881: (1,1,1,2,2,1)
1185: (1,3,4,1,1,1)
1388: (1,5,2,3,1,0)
1565: (2,1,0,0,2,1)
1585: (2,1,1,0,0,1)
1930: (2,4,0,1,2,0)
2120: (2,5,3,1,1,0)
2919: (4,0,1,2,1,1)
3109: (4,1,4,2,0,1)
3454: (4,4,3,3,2,0)
3474: (4,4,4,3,0,0)
3651: (5,0,2,0,1,1)
3854: (5,2,0,2,1,0)
4158: (5,4,3,1,0,0)
4300: (5,5,4,0,2,0)
4500: (6,1,2,2,0,0)
4527: (6,1,3,2,1,1)
4560: (6,2,0,0,0,0)
5039: (6,5,4,3,2,1)
