0,1,2,3,4,5,6,7
0,1,5,7,6,4,3,2
0,1,6,3,4,5,2,7
0,1,6,4,3,7,5,2
0,2,1,3,7,4,6,5
0,2,3,4,6,7,5,1
0,2,5,7,3,4,6,1
0,2,7,4,6,3,1,5
0,3,2,1,4,7,6,5
0,3,2,4,1,5,7,6
0,3,6,1,4,7,2,5
0,3,7,5,2,4,1,6
0,5,1,3,6,4,7,2
0,5,2,7,4,1,6,3
0,5,6,4,7,3,1,2
0,5,6,7,4,1,2,3
0,6,1,4,2,5,7,3
0,6,3,1,5,4,2,7
0,6,5,4,2,1,3,7
0,6,7,5,1,4,2,3
0,7,2,4,5,1,3,6
0,7,2,5,4,3,6,1
0,7,3,1,2,4,5,6
0,7,6,5,4,3,2,1
